Rang,Mot-clé,URL suggérée,Audience cible,Intention de recherche,Volume estimé,Difficulté SEO,Priorité (1-5),Catégorie,Page à créer
1,concert privé à domicile,/concert-prive-a-domicile,Spectateurs,Transactionnelle,Élevé,Moyenne,5,Spectacle à domicile,OUI
2,spectacle à domicile,/spectacle-a-domicile,Spectateurs,Transactionnelle,Élevé,Moyenne,5,Spectacle à domicile,OUI
3,sortir à paris,/sortir-a-paris,Spectateurs,Navigationnelle,Très élevé,Très haute,5,Sorties par ville,OUI
4,concert intime paris,/concert-intime-paris,Spectateurs,Transactionnelle,Moyen,Faible,5,Concerts intimes,OUI
5,spectacle chez l'habitant,/spectacle-chez-habitant,Spectateurs,Transactionnelle,Moyen,Très faible,5,Spectacle à domicile,OUI
6,idée sortie originale paris,/idee-sortie-originale-paris,Spectateurs,Informationnelle,Élevé,Haute,5,Sorties par ville,OUI
7,concert appartement paris,/concert-appartement-paris,Spectateurs,Transactionnelle,Moyen,Très faible,5,Concerts intimes,OUI
8,spectacle privé,/spectacle-prive,Spectateurs,Transactionnelle,Moyen,Faible,5,Spectacle à domicile,OUI
9,organiser concert chez soi,/organiser-concert-chez-soi,Hôtes,Informationnelle,Moyen,Faible,5,Hôtes,OUI
10,accueillir artiste chez soi,/accueillir-artiste-chez-soi,Hôtes,Informationnelle,Faible,Très faible,5,Hôtes,OUI
11,trouver un artiste pour événement,/trouver-artiste-evenement,Spectateurs,Transactionnelle,Moyen,Moyenne,5,Artistes,OUI
12,musicien pour soirée privée,/musicien-soiree-privee,Spectateurs,Transactionnelle,Élevé,Haute,5,Artistes,OUI
13,spectacles paris ce weekend,/spectacles-paris-ce-weekend,Spectateurs,Navigationnelle,Très élevé,Très haute,5,Sorties par ville,OUI
14,concert acoustique paris,/concert-acoustique-paris,Spectateurs,Transactionnelle,Moyen,Faible,5,Concerts intimes,OUI
15,sortie insolite paris,/sortie-insolite-paris,Spectateurs,Informationnelle,Élevé,Haute,5,Sorties par ville,OUI
16,spectacle à domicile paris,/spectacle-a-domicile-paris,Spectateurs,Transactionnelle,Moyen,Faible,5,Spectacle à domicile,OUI
17,concert privé paris,/concert-prive-paris,Spectateurs,Transactionnelle,Moyen,Moyenne,5,Concerts intimes,OUI
18,réserver artiste pour anniversaire,/reserver-artiste-anniversaire,Spectateurs,Transactionnelle,Moyen,Moyenne,4,Occasions,OUI
19,spectacle à domicile clown,/spectacle-a-domicile-clown,Spectateurs,Transactionnelle,Faible,Très faible,4,Spectacle à domicile,OUI
20,spectacle à domicile marionnette,/spectacle-a-domicile-marionnette,Spectateurs,Transactionnelle,Faible,Très faible,4,Spectacle à domicile,OUI
21,expo en appartement,/expo-en-appartement,Spectateurs,Transactionnelle,Faible,Très faible,4,Expériences artistiques,OUI
22,que faire ce weekend paris,/que-faire-ce-weekend-paris,Spectateurs,Informationnelle,Très élevé,Très haute,4,Sorties par ville,OUI
23,concert chez l'habitant,/concert-chez-habitant,Spectateurs,Transactionnelle,Moyen,Très faible,4,Concerts intimes,OUI
24,artiste pour mariage,/artiste-pour-mariage,Spectateurs,Transactionnelle,Élevé,Haute,4,Occasions,OUI
